日付,検索条件,タイトル,メルカリ価格,メルカリURL,eBay中央値,eBay出品数,判定,推奨出品価格
2026-04-14,cat:10861 | ¥1000-50000,PSA10 ベジータ エナジーマーカー パラレル ドラゴンボールカード,17999,https://jp.mercari.com/item/m76351375075,91433630,,,UNKNOWN,
2026-04-14,cat:10861 | ¥1000-50000,【PSA10】孫悟飯：幼年期 パラレル SCR★ FB03-139,28500,https://jp.mercari.com/item/m99239929351,153610057,,,UNKNOWN,
2026-04-14,cat:10861 | ¥1000-50000,2024 DBS FSN WORLD JP ベジット PSA10,30000,https://jp.mercari.com/item/m20009734931,,,,UNKNOWN,
2026-04-14,cat:10861 | ¥1000-50000,PSA10 悟空 フリーザ SCR FB05-119 FB05-120 パラレル,46900,https://jp.mercari.com/item/m77950446201,,,,UNKNOWN,
2026-04-14,cat:10861 | ¥1000-50000,ギニュー　PSA10 エナジーマーカー　パラレル　フュージョンワールド,9999,https://jp.mercari.com/item/m36808629523,95471375,,,UNKNOWN,
2026-04-14,cat:10861 | ¥1000-50000,PSA10 エナジーマーカー E-72 マンガブースター02 ワンオーナー品,38999,https://jp.mercari.com/item/m31443091815,,,,UNKNOWN,
2026-04-14,cat:10861 | ¥1000-50000,PSA10 エナジーマーカー E-83 マンガブースター02,28999,https://jp.mercari.com/item/m86153357938,,,,UNKNOWN,
2026-04-14,cat:10861 | ¥1000-50000,PSA10 エナジーマーカー E-82 マンガブースター02,35555,https://jp.mercari.com/item/m10469087113,,,,UNKNOWN,
2026-04-14,cat:10861 | ¥1000-50000,フュージョンワールド FB05-053 孫悟空(漫画絵) PSA10 ①,15555,https://jp.mercari.com/item/m78886041098,,,,UNKNOWN,
2026-04-14,cat:10861 | ¥1000-50000,PSA10 ドラゴンボール　マンガブースター　ブルマ　SB02-044,22222,https://jp.mercari.com/item/m98456567455,141085873,230.0,1,HOLD,257.98
2026-04-14,cat:10861 | ¥1000-50000,世界に4枚！　FB04-095 魔人ブウ純粋　パラレル　PSA,33333,https://jp.mercari.com/item/m59512295133,135694642,,,UNKNOWN,
